,state,2017_SAT,2018_SAT,2019_SAT,2017_ACT,2018_ACT,2019_ACT,SAT_change_pct,ACT_change_pct,Abb,population_estimates,under_18_pct,white_pct,black_pct,american_pct,asian_pct,owner-occupied_housing_rate,persons_per_household,living_in_same_house_1y+,households_with_computer,households_with_internet,bachelor_or_higer_pct,travel_time_to_work,household_income,poverty_pct,employment_change_pct,population_persqmile
0,Alabama,0.05,0.06,0.07,1.0,1.0,1.0,40.00000000000001,0.0,AL,4903185.0,22.2,69.1,26.8,0.7,1.5,68.8,2.55,86.3,85.5,76.4,25.5,24.9,50536.0,15.5,2.4,94.4
1,Alaska,0.38,0.43,0.41,0.65,0.33,0.38,7.894736842105256,-41.53846153846154,AK,731545.0,24.6,65.3,3.7,15.6,6.5,64.3,2.8,82.1,94.1,85.5,29.6,19.1,77640.0,10.1,-0.4,1.2
2,Arizona,0.3,0.29,0.31,0.62,0.66,0.73,3.3333333333333366,17.741935483870964,AZ,7278717.0,22.5,82.6,5.2,5.3,3.7,64.4,2.68,82.6,91.7,84.1,29.5,25.7,58945.0,13.5,4.1,56.3
3,Arkansas,0.03,0.05,0.06,1.0,1.0,1.0,100.0,0.0,AR,3017804.0,23.2,79.0,15.7,1.0,1.7,65.6,2.52,84.6,86.2,73.0,23.0,21.7,47597.0,16.2,1.2,56.0
4,California,0.53,0.6,0.63,0.31,0.27,0.23,18.867924528301884,-25.80645161290322,CA,39512223.0,22.5,71.9,6.5,1.6,15.5,54.8,2.95,87.1,93.0,86.7,33.9,29.8,75235.0,11.8,2.2,239.1
5,Colorado,0.11,1.0,1.0,1.0,0.3,0.27,809.0909090909091,-73.0,CO,5758736.0,21.9,86.9,4.6,1.6,3.5,65.2,2.56,82.0,93.9,87.6,40.9,25.8,72331.0,9.3,2.2,48.5
6,Connecticut,1.0,1.0,1.0,0.31,0.26,0.22,0.0,-29.032258064516125,CT,3565287.0,20.4,79.7,12.2,0.6,5.0,66.1,2.53,87.9,90.8,85.5,39.3,26.6,78444.0,10.0,-0.5,738.1
7,Delaware,1.0,1.0,1.0,0.18,0.17,0.13,0.0,-27.777777777777775,DE,973764.0,20.9,69.2,23.2,0.7,4.1,71.2,2.57,87.4,91.6,85.0,32.0,26.3,68287.0,11.3,1.3,460.8
8,District of Columbia,1.0,0.92,0.94,0.32,,0.32,-6.000000000000005,0.0,DC,705749.0,18.2,46.0,46.0,0.6,4.5,41.6,2.3,80.5,91.8,82.6,58.5,30.8,86420.0,13.5,2.4,9856.5
9,Florida,0.83,0.56,1.0,0.73,0.66,0.54,20.48192771084338,-26.027397260273965,FL,21477737.0,19.7,77.3,16.9,0.5,3.0,65.4,2.65,84.5,91.5,83.0,29.9,27.8,55660.0,12.7,3.4,350.6
10,Georgia,0.61,0.7,0.71,0.55,0.53,0.49,16.393442622950815,-10.909090909090919,GA,10617423.0,23.6,60.2,32.6,0.5,4.4,63.3,2.7,84.9,90.2,81.3,31.3,28.8,58700.0,13.3,2.2,168.4
11,Hawaii,0.55,0.56,0.54,0.9,0.89,0.8,-1.8181818181818195,-11.111111111111107,HI,1415872.0,21.2,25.5,2.2,0.4,37.6,58.9,3.0,86.6,91.2,84.8,33.0,27.5,81275.0,9.3,1.4,211.8
12,Idaho,0.93,1.0,1.0,0.38,0.36,0.31,7.526881720430103,-18.42105263157895,ID,1787065.0,25.1,93.0,0.9,1.7,1.6,70.0,2.68,82.8,91.8,82.7,27.6,21.1,55785.0,11.2,3.4,19.0
13,Illinois,0.09,0.99,1.0,0.93,0.43,0.35,1011.1111111111112,-62.365591397849464,IL,12671821.0,22.2,76.8,14.6,0.6,5.9,66.1,2.57,87.3,89.9,82.7,34.7,29.2,65886.0,11.5,0.5,231.1
14,Indiana,0.63,0.63,0.66,0.35,0.32,0.29,4.761904761904765,-17.142857142857142,IN,6732219.0,23.3,84.8,9.9,0.4,2.6,69.1,2.52,85.3,88.7,80.1,26.5,23.8,56303.0,11.9,1.3,181.0
15,Iowa,0.02,0.03,0.03,0.67,0.68,0.66,49.999999999999986,-1.492537313432837,IA,3155070.0,23.0,90.6,4.1,0.5,2.7,71.1,2.4,85.2,89.0,80.8,28.6,19.3,60523.0,11.2,0.8,54.5
16,Kansas,0.04,0.04,0.04,0.73,0.71,0.72,0.0,-1.3698630136986314,KS,2913314.0,24.0,86.3,6.1,1.2,3.2,66.3,2.51,83.8,90.0,81.8,33.4,19.4,59597.0,11.4,0.4,34.9
17,Kentucky,0.04,0.04,0.04,1.0,1.0,1.0,0.0,0.0,KY,4467673.0,22.4,87.5,8.5,0.3,1.6,67.2,2.49,84.9,86.4,78.4,24.2,23.6,50589.0,16.3,1.1,109.9
18,Louisiana,0.04,0.04,0.05,1.0,1.0,1.0,25.000000000000007,0.0,LA,4648794.0,23.4,62.8,32.8,0.8,1.8,65.6,2.61,87.2,85.6,75.5,24.1,25.7,49469.0,19.0,0.2,104.9
19,Maine,0.95,0.99,0.99,0.08,0.07,0.06,4.210526315789478,-25.000000000000007,ME,1344212.0,18.5,94.4,1.7,0.7,1.3,72.3,2.32,86.6,89.7,82.1,31.8,24.2,57918.0,10.9,0.5,43.1
